out_comp,iter,RTime,SAIDI,Energy,Product
9,1,282.5062497,252508.7371,2.06E+12,1.47E+20
9,1,285.1140298,247822.652,1.98E+12,1.40E+20
9,1,275.2930527,223530.469,1.54E+12,9.49E+19
9,1,278.9625155,191633.1764,8.46E+11,4.52E+19
9,1,283.1631947,167310.3012,6.27E+11,2.97E+19
9,1,292.5192165,172454.7103,5.49E+11,2.77E+19
9,1,304.8159393,174937.1821,5.15E+11,2.75E+19
9,1,319.198189,162506.7693,4.37E+11,2.26E+19
9,1,319.4146758,160105.5672,4.21E+11,2.16E+19
9,1,316.8545544,153052.4751,4.41E+11,2.14E+19
9,1,314.5631924,163884.2605,4.13E+11,2.13E+19
9,1,320.0448431,162308.8435,4.06E+11,2.11E+19
9,1,336.8298683,166966.4157,3.64E+11,2.05E+19
9,1,341.0877434,176952.0784,3.31E+11,2.00E+19
9,1,341.2539336,177180.0193,3.30E+11,2.00E+19
9,1,329.8984903,176479.0548,3.31E+11,1.93E+19
9,1,321.4003574,168664.3351,3.53E+11,1.92E+19
9,1,332.758016,154710.3637,3.50E+11,1.80E+19
9,1,332.7572864,154490.8543,3.50E+11,1.80E+19
9,1,336.55311,148630.5769,3.52E+11,1.76E+19
9,1,350.9860424,147802.6214,3.27E+11,1.70E+19
9,1,348.8818683,147745.8579,3.27E+11,1.68E+19
9,1,348.8111581,147527.2576,3.27E+11,1.68E+19
9,1,333.2425132,146341.2934,3.27E+11,1.59E+19
9,1,333.1089462,147657.9575,3.22E+11,1.58E+19
9,1,336.2592921,140886.9878,3.26E+11,1.55E+19
9,1,336.4091867,140321.256,3.27E+11,1.55E+19
9,1,337.7958213,137645.7431,3.25E+11,1.51E+19
9,1,340.1876186,137666.3934,3.22E+11,1.51E+19
9,1,324.6333574,136650.9738,3.22E+11,1.43E+19
9,1,317.4434009,136715.926,3.21E+11,1.39E+19
9,1,317.2593047,135893.8549,3.21E+11,1.39E+19
9,1,305.5674696,135105.5741,3.21E+11,1.33E+19
9,1,300.2642005,136051.9235,3.22E+11,1.31E+19
9,1,299.9882279,135905.5184,3.21E+11,1.31E+19
9,1,293.3293597,135430.5946,3.19E+11,1.27E+19
9,1,282.2261672,137162.0343,3.18E+11,1.23E+19
9,1,280.9236804,140696.8177,3.11E+11,1.23E+19
9,1,278.2811684,141266.1064,3.11E+11,1.22E+19
9,1,278.862606,141458.7872,3.10E+11,1.22E+19
9,1,279.1693826,142738.6526,3.06E+11,1.22E+19
9,1,277.8783505,142468.5816,3.07E+11,1.22E+19
9,1,269.5680561,143753.0968,3.13E+11,1.21E+19
9,1,268.8798625,141564.1257,3.16E+11,1.20E+19
9,1,268.8798625,141372.8562,3.16E+11,1.20E+19
9,1,278.327874,137380.2112,3.12E+11,1.19E+19
9,1,270.911079,139250.8428,3.11E+11,1.17E+19
9,1,260.7028305,140202.2575,3.15E+11,1.15E+19
9,1,260.132858,139783.2772,3.15E+11,1.15E+19
9,1,259.1932062,139448.734,3.15E+11,1.14E+19
9,1,245.9103276,138789.1322,3.14E+11,1.07E+19
9,1,225.9529874,135185.7423,3.29E+11,1.00E+19
9,1,226.0565979,135225.8859,3.28E+11,1.00E+19
9,1,225.9643093,135147.1262,3.28E+11,1.00E+19
9,1,225.803858,137775.9159,3.21E+11,9.98E+18
9,1,224.9721649,137634.1407,3.21E+11,9.94E+18
9,1,222.5372222,137327.6439,3.20E+11,9.77E+18
9,1,219.2620424,137517.8473,3.22E+11,9.70E+18
9,1,216.5904467,137774.5379,3.20E+11,9.56E+18
9,1,216.7374296,137658.9346,3.19E+11,9.53E+18
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19
9,1,203.6984284,176095.2114,4.17E+11,1.49E+19